wavelength spec_bulge spec_disk spec_clump1 spec_clump2 spec_clump3
91.0 1.0841958841995982e-12 1e-70 1e-70 1e-70 1e-70
94.0 1.1926045351618882e-12 1e-70 1e-70 1e-70 1e-70
96.0 1.5006582469163791e-12 1e-70 1e-70 1e-70 1e-70
98.0 2.6772018689003587e-12 1e-70 1e-70 1e-70 1e-70
100.0 5.286326541268393e-12 1e-70 1e-70 1e-70 1e-70
102.0 2.522848880248298e-12 1e-70 1e-70 1e-70 1e-70
104.0 4.353147722929175e-12 1e-70 1e-70 1e-70 1e-70
106.0 9.624557049939469e-12 1e-70 1e-70 1e-70 1e-70
108.0 1.1310786344768335e-11 1e-70 1e-70 1e-70 1e-70
110.0 1.6088041819359833e-11 1e-70 1e-70 1e-70 1e-70
114.0 7.703647468935596e-12 1e-70 1e-70 1e-70 1e-70
118.0 9.684383323354473e-12 1e-70 1e-70 1e-70 1e-70
121.0 2.3514159310022426e-11 1e-70 1e-70 1e-70 1e-70
125.0 2.8251802008036052e-11 1e-70 1e-70 1e-70 1e-70
127.0 1.9362198040648997e-11 1e-70 1e-70 1e-70 1e-70
128.0 2.52905094358461e-11 1e-70 1e-70 1e-70 1e-70
131.0 2.1913243666528857e-11 1e-70 1e-70 1e-70 1e-70
132.0 3.210025045679124e-11 1e-70 1e-70 1e-70 1e-70
134.0 2.1844721800152706e-11 1e-70 1e-70 1e-70 1e-70
137.0 2.575623796999559e-11 1e-70 1e-70 1e-70 1e-70
140.0 3.7429312884533417e-11 1e-70 1e-70 1e-70 1e-70
143.0 3.8942491507754505e-11 1e-70 1e-70 1e-70 1e-70
147.0 4.142495415781828e-11 1e-70 1e-70 1e-70 1e-70
151.0 4.528815736739553e-11 1e-70 1e-70 1e-70 1e-70
155.0 5.023140735974066e-11 1e-70 1e-70 1e-70 1e-70
159.0 6.856513298053373e-11 1e-70 1e-70 2.604044489264335e-69 8.629208991192493e-69
162.0 7.410249508365941e-11 1e-70 1e-70 7.557590243413005e-66 2.5224354845270855e-65
166.0 8.78356554965686e-11 1e-70 1e-70 1.493099784692455e-61 5.073741696153546e-61
170.0 8.61271287851474e-11 1e-70 1e-70 1.0226319341033669e-57 3.4665878448216055e-57
173.0 7.775385160232363e-11 1e-70 1e-70 4.477411967875236e-55 1.406268532279021e-54
177.0 7.336149643496131e-11 1e-70 1e-70 7.192373840202482e-52 2.404831788810399e-51
180.0 1.010433775620875e-10 1e-70 1e-70 1.3004707461367583e-49 4.4990718194281046e-49
182.0 1.0730811072134337e-10 1e-70 1e-70 3.4395511239562914e-48 1.1893626379463546e-47
186.0 9.032202776532848e-11 1e-70 5.235953409519743e-69 1.2866928962762646e-45 4.398804568287009e-45
191.0 1.2392868691145433e-10 1e-70 3.0492467559259567e-65 1.1722610874626542e-42 4.103867038246669e-42
194.0 1.3295429591676634e-10 1e-70 3.6765834446355103e-63 5.413836887403897e-41 1.914949005033424e-40
198.0 1.6713049447492343e-10 1e-70 1.4289792849254274e-60 5.377674310867143e-39 1.9502911924350807e-38
202.0 1.6522448634473643e-10 1e-70 3.537574043985442e-58 3.2545416203985038e-37 1.1836212276817942e-36
205.0 1.7276631412547843e-10 1e-70 1.6895201490062637e-56 6.442867935906511e-36 2.3650406814916792e-35
210.0 1.850449775080956e-10 1e-70 6.662042001675159e-54 6.157198581930854e-34 2.266508881147278e-33
216.0 1.9607472575102365e-10 1e-70 4.348216261707468e-51 7.909385093352079e-32 2.9355092486896434e-31
220.0 1.688808016944228e-10 1e-70 2.277555436075318e-49 1.2214719232842813e-30 4.424010310290581e-30
223.0 1.9815362551953728e-10 1e-70 3.716887472620235e-48 1.0710495631615145e-29 4.011956981747404e-29
227.0 2.3150865382483512e-10 1e-70 1.2401659318039853e-46 1.4282320925609776e-28 5.471735196411583e-28
230.0 3.175580862286738e-10 1e-70 9.970382108428616e-34 8.79684125475545e-28 3.501898698414246e-27
234.0 9.171560479759047e-10 1e-70 3.0159137291494237e-32 8.558253939855288e-27 4.4049302672064226e-26
