wavelength spec_bulge1 spec_bulge1_unc spec_bulge2 spec_bulge2_unc spec_bulge3 spec_bulge3_unc spec_bulge4 spec_bulge4_unc spec_disk spec_disk_unc spec_clump1 spec_clump1_unc spec_clump2 spec_clump2_unc spec_clump3 spec_clump3_unc
2990.0 3.153603212089853e-06 3.352874882370221e-07 1.956293298121894e-05 2.154575487158871e-06 1.373360524141369e-05 1.244931487682527e-06 1.82664032646684e-05 1.9652752985259744e-06 2.066080743495407e-05 2.4537276339125747e-06 0.0001404124983863306 1.4136477226381303e-05 0.0001400236657613884 1.2828687563496655e-05 0.00033573865520100064 3.1530912800809715e-05
3010.0 2.4720265999137625e-06 3.551878443955982e-07 2.3931683731009474e-05 2.2405320274996264e-06 1.3047403429265067e-05 1.2978599359318054e-06 2.3218963636513206e-05 2.0307652802642535e-06 2.640862665707964e-05 2.4954718904907433e-06 0.00015092073531403934 1.4272426560918379e-05 0.00011091090569573214 1.2928714391905243e-05 0.00029304583074481715 3.1712096997359076e-05
3030.0 3.675899152293093e-06 3.6849267376986305e-07 2.4521840708648915e-05 2.2683755782169437e-06 1.2818437840492217e-05 1.3184341259775266e-06 1.5537550202334316e-05 2.0554143222032336e-06 2.2399403870141147e-05 2.5237297730626258e-06 0.00014785345921777647 1.4329577108223817e-05 0.00011829272705800085 1.2968191882911683e-05 0.000333977155654907 3.1796381747381914e-05
3050.0 4.083912461804139e-06 3.901805565301036e-07 2.119764538829581e-05 2.3292101227387827e-06 1.5696215046285013e-05 1.3596953396183864e-06 1.84598498938136e-05 2.1050751188863917e-06 2.8028113528800686e-05 2.554539658262913e-06 0.0001460086111428055 1.4378427619150014e-05 0.00013052017081474954 1.298989794630746e-05 0.0003475097712763658 3.183197283990637e-05
3070.0 3.923132340723946e-06 4.147420600934516e-07 2.97079074013721e-05 2.428799256985216e-06 1.575531248271462e-05 1.4217706585228857e-06 2.370030124030712e-05 2.166519387323839e-06 2.7005469411873988e-05 2.584622028963859e-06 0.0001320873154964263 1.4402432885801104e-05 0.00013652254977039948 1.3006574302603087e-05 0.0002795909817898751 3.187897308404197e-05
3090.0 4.35305119274264e-06 4.224483022064103e-07 2.6766482373336872e-05 2.5107733361254058e-06 1.589010010426034e-05 1.466610819148949e-06 2.2603224852160322e-05 2.2102078524911903e-06 2.5742005720491946e-05 2.6201890351940413e-06 0.00015888214696575012 1.4501923337451132e-05 0.00014157078051546795 1.3081484110603929e-05 0.0003178492187852424 3.20277067341406e-05
3110.0 5.068300809548741e-06 4.639068107520842e-07 2.4909538647116343e-05 2.545866108203554e-06 1.4535998284630564e-05 1.5048864594612227e-06 2.00931883472542e-05 2.2727083180956226e-06 2.2794619254040633e-05 2.648400663712955e-06 0.00014530579403999942 1.453003590192303e-05 0.0001325092479358841 1.3090518237857896e-05 0.00032107291560313144 3.204496537250981e-05
3130.0 4.389572314308117e-06 4.479703474520227e-07 2.4761104759687116e-05 2.529306054531377e-06 1.3692186442343757e-05 1.4886382009749067e-06 2.5016789929701995e-05 2.246883271543173e-06 2.4732779150747003e-05 2.649376178642575e-06 0.00013902907695833411 1.452012104811333e-05 0.00012653051707863297 1.3084756490556872e-05 0.0003623778306972045 3.20523902086493e-05
3150.0 4.434151797279976e-06 4.4817371204941367e-07 2.0599752695288446e-05 2.6173508331105534e-06 1.723004166716031e-05 1.5327622725623597e-06 2.1607677799020647e-05 2.2744328207131812e-06 2.6786337316716806e-05 2.6842584536628857e-06 0.00013536791457680278 1.4602367323979952e-05 0.0001232273576607215 1.31519556835106e-05 0.00040599329393159906 3.2218958523273105e-05
3170.0 5.305070794954161e-06 4.887235433578945e-07 2.9760475314540375e-05 2.6828988291467523e-06 1.3845696208672524e-05 1.5858111862348116e-06 2.2570135614365816e-05 2.3512877461678752e-06 2.43354610249776e-05 2.727071048341283e-06 0.00014574122125524816 1.4688734445689882e-05 0.00013045144154117958 1.320167217289767e-05 0.00033114172704858493 3.2300098210994275e-05
3190.0 4.435265723187254e-06 4.337513886416904e-07 2.5084384734620206e-05 2.496957952076929e-06 1.560136538468583e-05 1.4653546703425936e-06 2.19561737280968e-05 2.2116505815136003e-06 2.6749408494686964e-05 2.677496606828006e-06 0.00014528135663049115 1.4550085063586764e-05 0.00014572870189238143 1.311013482767909e-05 0.0003353474821159109 3.218094863311723e-05
3210.0 4.832710688917968e-06 4.912921699006546e-07 3.0528303600703256e-05 2.690024888972277e-06 1.6376104437972976e-05 1.5906585294188757e-06 2.334236288843002e-05 2.367924903772555e-06 2.716548187784541e-05 2.767992553881409e-06 0.00013731122645498298 1.4822187428952446e-05 0.00014557905580320313 1.331287828657471e-05 0.0003351433985743996 3.261147974340006e-05
3230.0 3.8910319408215905e-06 4.1991668562360234e-07 2.8401339818129756e-05 2.5131712620020507e-06 1.429454289391657e-05 1.4665439737954976e-06 2.1025204637182036e-05 2.203593757673436e-06 2.5345899620387247e-05 2.725224579854569e-06 0.00015726417252422234 1.4735581415478729e-05 0.00011985037457149768 1.3271044608244198e-05 0.00034081175588933723 3.2590487855617935e-05
3250.0 6.11838920550618e-06 5.627812897217199e-07 2.681495731636226e-05 2.842072773575928e-06 1.6088370856800082e-05 1.7024270316309516e-06 2.354321933845366e-05 2.5077242636479224e-06 2.4086071182527462e-05 2.8572563081869047e-06 0.00010931155865563081 1.5006798697474133e-05 0.00014924930332852778 1.3426865963778232e-05 0.0002870956348765026 3.281792920578698e-05
3270.0 7.281920958988733e-06 6.517559617689838e-07 3.342288983483191e-05 3.065160338919356e-06 1.8463322008223192e-05 1.8584581503257978e-06 2.6311365449890133e-05 2.705586913346701e-06 2.7529668186673686e-05 2.9538345114427267e-06 0.0001575359749741413 1.522156672193885e-05 0.00014058933952504346 1.3562279042354285e-05 0.00030323350416777413 3.30523866655361e-05
3290.0 6.843714040499519e-06 6.440773856198992e-07 3.365134714563633e-05 3.08578333019728e-06 1.5725118708416987e-05 1.8649303578897878e-06 2.7816287287935458e-05 2.7023249603599376e-06 3.0231594996888818e-05 2.9788936412425704e-06 0.0001376505982005192 1.529366251299593e-05 0.00012876025823342114 1.3625017997196594e-05 0.0003557689480172082 3.322968465504322e-05
3310.0 6.4108937882427815e-06 6.341226667573835e-07 3.272657865679048e-05 3.140852130677135e-06 1.804428671254902e-05 1.8874873986978552e-06 2.7314635975461072e-05 2.7154615784146076e-06 3.233534409938121e-05 3.003547347972638e-06 0.00015830753866985072 1.5385488122390644e-05 0.00013236703428035212 1.3707310256295748e-05 0.0003122843297502386 3.3458264223249376e-05
3330.0 5.778364681898887e-06 6.522934509666061e-07 2.857545348284539e-05 3.1545972001960266e-06 1.651251973723543e-05 1.9034453255621614e-06 2.8471646226374572e-05 2.7446635545803072e-06 2.7687106917334094e-05 3.026459264937478e-06 0.0001395516840662632 1.5436908483889922e-05 0.00013619530788027524 1.375164378924423e-05 0.00038971317204454287 3.35877642538631e-05
3350.0 5.566729998524217e-06 6.444297969816397e-07 3.163613330114252e-05 3.1391844512901596e-06 1.8824745136312032e-05 1.8918071241167131e-06 2.5412778253658854e-05 2.7308662206712273e-06 2.9594412558749775e-05 3.030808699627099e-06 0.0001988386175468602 1.5456131037409563e-05 0.000135294022701893 1.3777911148298648e-05 0.00038642583779373004 3.370451087310559e-05
3370.0 5.589912066985235e-06 5.28448045277007e-07 3.328318582600909e-05 2.973131932111765e-06 1.9571339696213757e-05 1.7507899886748857e-06 2.2373123997360286e-05 2.524363881642336e-06 3.181382298609215e-05 2.975909721904713e-06 0.00015444734608625391 1.5395141788603303e-05 0.0001389723715474006 1.378524438036169e-05 0.00028078601859065006 3.387587267541274e-05
3390.0 6.921203559952482e-06 5.935218073080817e-07 3.040734906007047e-05 3.0890458421540533e-06 1.4753676683211366e-05 1.841283824711477e-06 2.8130445462970842e-05 2.654254143150662e-06 3.0116927436425222e-05 3.0450540616407368e-06 0.0001422745014004397 1.5568397104271846e-05 0.00017001719891022074 1.3898675658347494e-05 0.0002997758448520585 3.4099446188634705e-05
3410.0 4.9820919370595295e-06 6.111176294305849e-07 2.989213959731489e-05 3.1527565596425577e-06 1.8580872652233906e-05 1.8819370945166124e-06 2.8087945865594518e-05 2.705038328128304e-06 3.681219650213198e-05 3.1024972296023594e-06 0.00013423670809890322 1.5750499421462475e-05 0.0001157307105981409 1.4035987104398727e-05 0.000343847357344962 3.441197296595282e-05
3430.0 6.166041516680924e-06 6.390259716920547e-07 3.176617866618887e-05 3.2409550220079296e-06 1.7678985743623032e-05 1.9399904968296488e-06 2.823019213290844e-05 2.7673020261576575e-06 3.923721408741925e-05 3.1587362910538005e-06 0.0001351629081631643 1.5850479410799442e-05 0.0001075579593930449 1.4087693380173657e-05 0.00038017049681784976 3.446914994289342e-05
3450.0 8.11988057885656e-06 6.789703569514683e-07 2.9002789350569176e-05 3.3232085538598865e-06 1.783836901852212e-05 2.001089455385398e-06 2.860612419056412e-05 2.841678620735126e-06 2.728482529354968e-05 3.1775986119448915e-06 0.00013859194920973393 1.5778583996216346e-05 0.00012664909812613005 1.3982027555113498e-05 0.00031563371689897286 3.40783200482919e-05
3470.0 7.010382037011079e-06 7.011680238910098e-07 3.4360579871773445e-05 3.3568980594228145e-06 2.3204743906889102e-05 2.0290330416366116e-06 3.0913194073828196e-05 2.8828121182827018e-06 3.733248490750978e-05 3.216765975658076e-06 0.0001299411044923681 1.588521414805068e-05 0.00014222469117106926 1.4068601270842031e-05 0.0003228446835650982 3.431489693478906e-05
3490.0 8.121718211420079e-06 7.702607942783288e-07 3.350923789051028e-05 3.4976940094330627e-06 1.8970992266203614e-05 2.133977401835305e-06 3.202164545480571e-05 3.0274935422816506e-06 2.977914839456404e-05 3.2957022449450937e-06 0.00015635117344008198 1.6064621687360585e-05 0.0001644124693350899 1.4197920380122606e-05 0.00029998431341854247 3.460315305532362e-05
3510.0 7.324674684914375e-06 8.182158525496799e-07 3.938827315611443e-05 3.644703568401339e-06 2.160656877418377e-05 2.23145971045446e-06 3.563105884523201e-05 3.1433247643097376e-06 4.0462962567194964e-05 3.3746774396585144e-06 0.0001892299509454554 1.6267784683294675e-05 0.00015544386241762606 1.4345665052902727e-05 0.0003931663323530603 3.492206066132511e-05
3530.0 7.85547070387382e-06 7.590165995990637e-07 3.750598184879615e-05 3.5449325109473777e-06 1.9575401163740242e-05 2.151974555251868e-06 3.0116978350703292e-05 3.032687863218295e-06 2.773793142139262e-05 3.3570720173663752e-06 0.00019476123629309783 1.6293655546249487e-05 0.00013788828129472207 1.4396301739016596e-05 0.0003837571883961327 3.514862866847337e-05
3550.0 7.705664301529668e-06 8.742403024085146e-07 3.5257179843265874e-05 3.8043955704748685e-06 1.849072319401146e-05 2.3393179364200754e-06 3.396019679452847e-05 3.285740740818286e-06 3.297108506987843e-05 3.4805690795737966e-06 0.00014265433795241584 1.6572605293526486e-05 0.0001517459823560469 1.4577788693125252e-05 0.00038449294775383516 3.5489943487326106e-05
3570.0 6.472762599911298e-06 6.712965505414795e-07 3.96629988559116e-05 3.388356074229475e-06 2.131376351634523e-05 2.02982631236411e-06 2.9434362737830332e-05 2.878681307634637e-06 3.24295807759775e-05 3.3415330219459896e-06 0.00017173459644851283 1.639414381971683e-05 0.0001484227137748787 1.452308732978074e-05 0.0002943086764175403 3.562333378014336e-05
3590.0 6.631024121414747e-06 6.788424475266573e-07 4.083535723394688e-05 3.434782145490675e-06 2.060720650874859e-05 2.0568122964870987e-06 3.164196887691595e-05 2.9033527402732936e-06 3.194120565502366e-05 3.3737545910018062e-06 0.00013625689586518045 1.6488130683293436e-05 0.00013623437688338252 1.461220646480219e-05 0.0004148526035419507 3.587469178930848e-05
3601.8274 9.032768358788527e-06 9.272350505499635e-07 4.253106351256945e-05 4.09751151531714e-06 2.2683812604914547e-05 2.5123732829065685e-06 2.8796605030620765e-05 3.45620396082016e-06 4.0417832042296935e-05 3.652580147787139e-06 0.0001743647451240271 1.6249122441263406e-05 0.0001486764081370709 1.4600370326281462e-05 0.00040982379504536973 3.5822862311924296e-05
3602.7275 8.06665503361978e-06 9.099100059430561e-07 4.1434205581740335e-05 4.058647389007905e-06 2.5334037126351975e-05 2.4842786974487993e-06 3.635011577797017e-05 3.4198623259277557e-06 4.299993791242577e-05 3.6328418277875466e-06 0.00015808663300015055 1.6241114766320016e-05 0.00015666952889400594 1.4585642015770545e-05 0.00031346560525738297 3.582269074369647e-05
3603.6279 8.567539643868853e-06 8.865529498545844e-07 3.5637279517828355e-05 4.007949784664717e-06 2.5460322474427116e-05 2.4472513672334314e-06 3.337425845442174e-05 3.371591954118491e-06 4.212827233890799e-05 3.6022917770629086e-06 0.00016460140685145864 1.6549011874008016e-05 0.00014539174159821988 1.4648965987224978e-05 0.0004088707996347734 3.599929676306938e-05
